code,name,lat,lng,art,concert,dance,film,theater,other
09X505,"Bronx School for Law, Government and Justice",40.827572,-73.918927,1,0,5,0,0,0
09X525,Bronx Leadership Academy High School,40.843429,-73.903109,0,1,1,1,1,0
09X543,High School for Violin and Dance,40.827303,-73.90451,0,1,1,0,0,0
09X555,Mount Eden Children's Academy,40.842999,-73.916234,0,0,3,0,0,0
09X564,Claremont International HS,40.839867,-73.911159,0,0,0,0,2,0
09X568,Young Women's Leadership School of the Bronx,40.84858,-73.908745,0,2,2,2,0,0
10X003,P.S. 3 Raul Julia Micro Society,40.850351,-73.89204,1,1,1,0,0,0
10X007,Milton Fein School,40.881778,-73.905981,0,0,1,0,0,0
10X008,P.S. 008 Isaac Varian,40.872547,-73.88336,30,1,30,0,30,0
10X009,P.S. 9 Ryer Avenue Elementary School,40.856803,-73.898907,2,2,2,0,0,0
10X015,P.S. X015 Institute for Environmental Learning,40.859185,-73.909804,0,0,0,0,0,0
10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",40.869621,-73.879073,0,6,0,0,1,0
10X023,P.S. 023 The New Children's School,40.853394,-73.894823,0,3,4,0,3,0
10X033,P.S. 033 Timothy Dwight,40.861675,-73.901633,0,0,0,0,0,0
10X045,Thomas C. Giordano Middle School 45,40.858363,-73.887043,2,0,1,0,0,0
10X046,P.S. 046 Edgar Allan Poe,40.86695,-73.890627,0,1,4,0,1,0
10X054,P.S./I.S. 54,40.864914,-73.887843,5,0,1,1,2,0
10X056,P.S. 056 Norwood Heights,40.875481,-73.874889,0,7,0,0,0,0
10X059,P.S. 059 The Community School of Technology,40.853105,-73.893569,2,0,1,0,1,0
10X077,Bedford Park Elementary School,40.872376,-73.875996,2,4,4,0,0,0
10X080,J.H.S. 080 The Mosholu Parkway,40.876802,-73.88137,3,3,3,0,3,0
10X085,P.S. 085 Great Expectations,40.85882,-73.894951,1,0,5,0,5,0
10X086,P.S. 086 Kingsbridge Heights,40.869847,-73.898263,30,18,2,30,3,10
10X091,P.S. 091 Bronx,40.857645,-73.90792,4,10,2,0,0,0
10X159,P.S. 159 Luis Munoz Marin Biling,40.855546,-73.893222,3,1,1,0,0,0
10X205,P.S. 205 Fiorello LaGuardia,40.855701,-73.88137,3,0,0,0,2,0
10X206,I.S. 206 Ann Mersereau,40.859566,-73.906267,2,1,1,0,0,0
10X207,P.S. 207,40.878194,-73.906322,18,2,1,1,0,0
10X209,P.S. 209,40.85683,-73.897356,3,4,3,0,9,3
10X225,Theatre Arts Production Company School,40.854655,-73.897036,2,3,2,0,2,2
10X226,P.S. 226,40.855172,-73.916234,1,0,6,0,1,0
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",40.875591,-73.90172,2,2,1,1,1,0
10X244,The New School for Leadership and Journalism,40.875591,-73.90172,0,3,0,0,0,0
10X246,P.S. 246 Poe Center,40.865975,-73.895314,1,2,1,3,0,0
10X254,I.S. 254,40.858888,-73.889849,0,2,0,0,0,0
10X264,Bronx Academy for Software Engineering (BASE),40.855428,-73.882427,2,0,0,0,0,0
10X268,Kingsbridge International High School,40.87085,-73.897798,0,0,0,0,0,0
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",40.85476,-73.904981,3,2,2,0,2,0
10X280,P.S./M.S. 280 Mosholu Parkway,40.877203,-73.8815,1,1,0,0,1,0
10X291,P.S. 291,40.859185,-73.909804,9,1,5,2,3,0
10X307,Luisa Pineiro Fuentes School of Science and Discovery,40.869139,-73.901882,0,3,5,0,3,0
10X310,P.S. 310 Marble Hill,40.872605,-73.905348,3,5,7,2,6,0
10X315,P.S. 315 Lab School,40.873612,-73.899836,1,4,4,0,0,0
10X340,P.S. 340,40.869271,-73.897224,3,0,2,1,3,0
10X342,International School for Liberal Arts,40.87085,-73.897798,2,0,1,0,1,1
10X351,Bronx Collaborative High School,40.881217,-73.887585,0,0,0,0,0,0
10X360,P.S. 360,40.874718,-73.902209,0,0,4,0,4,0
10X363,Academy For Personal Leadership And Excellence,40.859493,-73.900461,0,0,0,0,0,0
10X368,In-Tech Academy (M.S. / High School 368),40.879076,-73.911295,4,2,0,0,2,1
10X382,"Elementary School for Math, Science, and Technology",40.855143,-73.903211,0,0,1,0,0,3
10X386,School for Environmental Citizenship,40.855143,-73.903211,0,1,1,0,1,0
10X390,M.S. 390,40.854392,-73.912927,3,1,2,2,0,0
10X391,The Angelo Patri Middle School,40.854655,-73.897036,3,1,0,0,4,0
10X396,P.S. 396,40.854392,-73.912927,6,9,3,2,8,10
10X433,High School for Teaching and the Professions,40.87085,-73.897798,0,0,0,0,0,1
10X440,DeWitt Clinton High School,40.881217,-73.887585,0,1,0,0,0,0
10X442,"Celia Cruz Bronx High School of Music, The",40.87085,-73.897798,0,12,0,0,1,0
10X447,Creston Academy,40.855143,-73.903211,1,1,0,0,0,0
10X459,East Fordham Academy for the Arts,40.859493,-73.900461,2,1,2,0,2,0
10X524,Crotona International High School,40.855428,-73.882427,0,0,0,1,0,2
10X549,Discovery High School,40.87085,-73.897798,0,0,1,1,1,0
10X565,High School for Energy and Technology,40.855428,-73.882427,1,1,1,0,1,0
10X696,High School of American Studies at Lehman College,40.874876,-73.895223,5,2,1,10,5,0
11X041,P.S. 041 Gun Hill Road,40.874607,-73.86791,8,8,8,0,8,0
11X078,P.S. 078 Anne Hutchinson,40.878474,-73.85082,2,3,0,0,1,0
11X087,P.S. 087 Bronx,40.895363,-73.845825,3,4,3,0,0,0
11X096,P.S. 096 Richard Rodgers,40.860808,-73.868564,1,8,3,0,0,0
11X097,P.S. 097 Bronx,40.863072,-73.846947,4,2,1,0,0,3
11X106,P.S. 106 Parkchester,40.836913,-73.855051,1,0,1,0,2,0
11X108,P.S. 108 Philip J. Abinanti,40.854615,-73.852795,2,2,4,2,1,0
11X112,P.S. 112 Bronxwood,40.884767,-73.843974,4,10,5,0,3,0
11X121,P.S. 121 Throop,40.866944,-73.850467,2,2,4,2,0,0
11X127,J.H.S. 127 The Castle Hill,40.838305,-73.853209,0,1,0,0,1,0
11X144,J.H.S. 144 Michelangelo,40.864189,-73.836576,1,3,0,0,2,0
